epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.366,1.71287,1.51761,0.97983,0.31682,0.25335,0.20075,0.10725,1.62282,1.27345,0.95157,0.000332921,0.000332921,0.0670408
2,318.714,1.64822,1.29571,0.94862,0.35729,0.26964,0.22859,0.12471,1.5402,1.19473,0.92327,0.000653063,0.000653063,0.0340276
3,476.521,1.61771,1.23827,0.94112,0.38253,0.2901,0.25743,0.14533,1.48661,1.13673,0.92134,0.000960004,0.000960004,0.00100121
4,632.083,1.58281,1.20009,0.93268,0.40074,0.29697,0.26649,0.14977,1.49552,1.1207,0.9199,0.0009406,0.0009406,0.0009406
5,787.35,1.56751,1.16855,0.92881,0.39687,0.30045,0.26755,0.14952,1.48612,1.1099,0.91628,0.0009208,0.0009208,0.0009208
6,940.875,1.55943,1.14224,0.91936,0.42493,0.32488,0.29551,0.16552,1.45661,1.06684,0.91201,0.000901,0.000901,0.000901
7,1098.04,1.53328,1.1168,0.91727,0.42754,0.32316,0.30086,0.17013,1.4406,1.05688,0.90534,0.0008812,0.0008812,0.0008812
8,1253.85,1.52316,1.10294,0.91583,0.42213,0.32857,0.30166,0.16898,1.43712,1.04102,0.90157,0.0008614,0.0008614,0.0008614
9,1406.22,1.50918,1.07845,0.91173,0.44173,0.3252,0.3097,0.17399,1.4347,1.03947,0.9018,0.0008416,0.0008416,0.0008416
10,1561.61,1.49601,1.07135,0.90861,0.43358,0.34189,0.31419,0.17629,1.41349,1.01962,0.89748,0.0008218,0.0008218,0.0008218
11,1716.29,1.49239,1.05309,0.90681,0.4358,0.34697,0.32206,0.18152,1.40676,1.01792,0.89526,0.000802,0.000802,0.000802
12,1871.86,1.47522,1.04254,0.90502,0.44588,0.34367,0.32011,0.17873,1.40708,1.0123,0.89683,0.0007822,0.0007822,0.0007822
13,2025.49,1.47492,1.03052,0.90164,0.45335,0.34994,0.3295,0.18546,1.39951,0.99495,0.89384,0.0007624,0.0007624,0.0007624
14,2180.55,1.46609,1.02543,0.90273,0.44839,0.35942,0.32942,0.18601,1.38607,0.99402,0.89073,0.0007426,0.0007426,0.0007426
15,2337.02,1.45825,1.01337,0.8975,0.47733,0.3472,0.33391,0.19039,1.38454,0.98619,0.89305,0.0007228,0.0007228,0.0007228
